Datum ID,Indexed Field,NomicAtlasTopicDepth1,NomicAtlasTopicDepth2,NomicClaudeTopicDepth1,NomicClaudeTopicDepth2
2730,"Include healthcare-specific standards in US medical and healthcare AI policy making, specifically:
• AAMI TIR 34971:2023; Application of ISO 14971 to machine learning in artificial intelligence—Guide
• UL 2900-2-1 Ed. 1-2017 Software Cybersecurity for Network-Connectable Products, Part 2-1: Particular Requirements for Network Connectable Components of Healthcare and Wellness Systems
• IEC 81001-5-1 Health Software and Health IT Systems Safety, Effectiveness and Security - Part 5-1: Security - Activities in The Product Life Cycle
• IEC 82304-1 Health Software - Part 1: General Requirements for Product Safety
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
2731,"Develop policy frameworks for AI use in health and human services that incorporate guardrails specifically considering the unique use cases and risks associated with patient safety.
",Risk Management,Rural development,Regulation,Policy Awareness
2732,"Support the creation of a consistent, par-level governance approach for all healthcare AI use cases, regardless of whether federal regulation mandates its existence, and ensure such governance includes measurement systems for accountability against FAVES principles.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
2733,"Develop a forward-looking regulatory framework for AI governance. This includes:
• Creating a framework that balances the need for innovation with effective risk management.
• Engaging with stakeholders to ensure the framework is comprehensive and practical.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
2734,"Implement market-based enforcement of laws, regulations, and guidelines through third-party independent audits of AI systems, similar to the financial audit model for SEC filings. This would create an infrastructure of trust through globally harmonized certification schemes and auditable risk controls.
",Risk Management,Banking Regulation,Regulation,Financial Rules
2735,"Establish proper oversight and governance for AI use in national security contexts. This should include:
• Mandating declassification review of key documentation.
• Requiring regular reporting to Congressional committees.
• Ensuring each Intelligence Community element has a Chief AI Officer for coordination.
• Creating clear decision-making and internal oversight responsibilities.
• Supporting the establishment of an independent external oversight body with expertise and access to classified information.
",Risk Management,Rural development,Regulation,Policy Awareness
2736,"FDA should remain the primary regulator for AI-enabled medical devices rather than creating new regulatory frameworks that could be redundant or contradictory. The government should continue to leverage FDA's existing capabilities and regulatory framework to avoid duplication in regulatory approaches.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
2737,"Work with trading partners to promote flexible risk-based approaches to AI governance rather than prescriptive requirements. This includes:
• Examining AI's use in specific applications before developing new technology-specific laws,
• Working with industry to identify high-risk applications, and
• Utilizing industry-led voluntary accountability mechanisms.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
2738,"Improve FDA's regulatory processes through AI integration with four key sub-actions:
• Prioritize data readiness by organizing internal data systems with robust access and permission hierarchies.
• Conduct a formal benchmark test comparing AI-assisted reviews to human reviewer performance.
• Publish a report on AI procurement guidelines to identify gaps and propose reforms.
• Foster AI adoption through targeted reviewer engagement via workshops and training sessions.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
2739,"Future AI regulations should acknowledge end-users as beyond the scope of liability to ensure that regulations do not unnecessarily stifle innovation or undermine the pro-consumer and pro-housing benefits new technologies bring.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
2740,"HHS should seek public feedback in early 2026 on the healthcare industry's experience implementing the Decision Support Interventions (DSI) criterion that took effect January 1,
• This should assess whether the required 31 source attributes are excessive and if the disclosed information effectively fosters trust and adoption among clinician end users.
",Science Partnerships,Healthcare (2),Research Funding,Healthcare Payment
2741,"Leverage the expertise of Certified Public Accountants (CPAs) and existing assurance frameworks for AI evaluations. This recommendation includes:
• Incorporating the AICPA attestation standards by reference into any third-party AI assurance program,
• Using the established criteria evaluation framework that requires relevance, objectivity, measurability, and completeness,
• Engaging with CPA technical experts during policy development,
• Building upon existing quality management systems and professional standards rather than creating entirely new frameworks.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2742,"Implement requirements for AI transparency and accountability including:
• Incentives and/or mandates for AI systems to explain/justify decisions to humans affected by them.
• Mandates for AI companies to disclose processes, data usage, training data, and testing methodologies.
• Regulations addressing data provenance, governance, and privacy issues.
• Requirements allowing users to opt-out of features that may infringe on data privacy.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
2743,"Establish a consistent national approach to AI oversight that ensures protection of patients while minimizing administrative burdens and costs.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
2744,"Have HHS work with stakeholders to develop guidance that specifically describes existing privacy and security protections in place under HIPAA and how they apply to the use of AI data and tools in health care. This guidance should highlight any gaps or opportunities in areas such as consumer-driven tools and applications.
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
2745,"Clarify that accountability lies with all providers and contributors of AI solutions, including generative AI models, throughout the entire lifecycle of the AI. Require providers to maintain records, documentation, and associated metadata for the duration of the AI system's existence.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
2746,"• Develop national AI safety and performance benchmarks for standardizing AI applications in healthcare.
• Create clear guidelines for health AI developers regarding model training, validation, and real-world implementation.
• Apply standards to both Software as a Medical Device (SaMD) and other applications outside this classification.
• Develop system trust measures for evaluating AI models used in healthcare settings.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
2747,"Implement comprehensive measures to accelerate AI adoption in healthcare through:
• Establishing clear AI regulatory guidelines that create cohesive frameworks and standardize risk assessment.
• Strengthening AI security and privacy protections through robust federal standards and public-private collaboration.
• Providing funding and incentives for AI development including federal funding programs, pilot incentives, and reimbursement models.
• Facilitating integration through interoperability standards and infrastructure support.
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
2748,"Implement a federal policy framework that prioritizes AI applications in high-impact areas, with healthcare as a prime example. Actions include:
• Establishing dedicated federal funding for applied AI research including advanced methods, explainability, validation, and computing infrastructure.
• Expanding data access and interoperability.
• Establishing adaptive regulatory pathways to accelerate AI deployment.
• Expanding public-private partnerships for AI initiatives.
• Prioritizing high-impact healthcare areas like neurodegenerative diseases, maternal-fetal medicine, oncology, cardiovascular disorders, infectious disease, and mental health.
",Science Partnerships,Healthcare (2),Research Funding,Healthcare Payment
2749,"Align AI adoption with CMS reimbursement structures that incentivize safe, effective, and fair AI use. Establish economic incentives for responsible AI deployment, and support AI-driven care coordination and predictive analytics to enhance value-based care and alternative payment models.
• Align AI adoption with CMS reimbursement structures that incentivize safe, effective, and fair AI use.
• Establish economic incentives for responsible AI deployment.
• Support AI-driven care coordination and predictive analytics to enhance value-based care and alternative payment models.
",Science Partnerships,Healthcare (2),Research Funding,Healthcare Payment
2750,"Implement risk-based standards and confine any third-party evaluation requirements or government audits to ""high-risk"" uses of AI.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2751,"Create a federal learning laboratory to provide a sandbox environment for companies to deploy novel AI applications with minimal regulatory risk. This sandbox program would facilitate shared understanding and norming around AI governance in specific applications.
",Science Partnerships,Education (3),Research Funding,Rural Education
2752,"Create standard pathways for citizens to contest AI-assisted decisions that materially impact them. Establish efficient and accessible mechanisms for contesting erroneous decisions, which will help identify and remedy AI mistakes.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2753,"Take back control of AI development by:
• Creating open, government-backed AI models for biosciences through a federally backed AI research program.
• Ensuring AI models reflect scientific objectivity rather than corporate priorities by making publicly developed models transparent, auditable, and designed for scientific integrity.
",Content Creation,Software Development,Content & Models,Open Source
2754,"Develop permissive regulations that favor the transformative use of data by AI model developers. This recommendation suggests avoiding data access restrictions that could reinforce the dominant position of actors with proprietary or first-party data.
",Content Creation,Antitrust regulation,Content & Models,Market Competition
2755,"Promote a unified national regulatory approach to AI technologies while avoiding piecemeal approaches with conflicting, duplicative, and ambiguous rules. This will ensure regulatory certainty for AI developers and help support U.S. industry against hostile or anti-competitive measures from foreign jurisdictions.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
2756,"Reduce duplicative and unnecessary regulations that create barriers to AI adoption in healthcare. This includes providing clear guidance to hospitals and healthcare systems on AI implementation to reduce regulatory uncertainty. The AI Action Plan should establish a more predictable regulatory environment to encourage investment in AI tools.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
2757,"Implement transparency requirements for AI-enabled health care technologies, particularly those with clinical applications. This should include:
• Finalizing FDA guidance with new recommendations for pre-market submission for AI-enabled medical devices.
• Developing transparency frameworks for administrative AI applications.
• Adopting risk-based transparency approaches that consider when AI use should be disclosed and what information should be provided.
• Requiring documentation of AI use in medical records when it impacts patient care.
• Mandating disclosure of AI use in patient-facing interactions.
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
2758,"Require companies to apply safety measures for AI in high-risk applications, focusing on protecting vulnerable populations including medical patients and children. The approach should:
• Require notification to users when AI impacts them adversely,
• Offer options for human review,
• Ensure consumer control over personal data usage in AI, and
• Impose limits on AI applications involving children.
",Content Creation,Online Safety,Content & Models,Child Protection
2759,"Public policies should focus on addressing how AI systems can reduce disparities in healthcare while avoiding unintended consequences that could stifle innovation.
",Science Partnerships,Healthcare (2),Research Funding,Healthcare Payment
2760,"Implement regulatory frameworks requiring AI models to adhere to transparency and explainability mandates, especially in critical sectors. Key actions include:
• Require AI models to provide clear and interpretable explanations for their decisions.
• Mandate regular independent audits to identify and mitigate biases.
• Develop sector-specific AI regulations for healthcare, finance, and law enforcement.
• Establish government-backed AI oversight committees to ensure high-risk AI applications adhere to ethical standards.
• Require transparency reports for AI models influencing public policy, legal decisions, or essential services.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
2761,"Incentivize AI system developers to document and share data integrity and model validation procedures, including evidence of maintaining privacy and confidentiality. This would foster transparency in AI model development and allow for objective assessment of performance and fairness by external stakeholders.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
2762,"Develop incentives and certification programs to promote responsible AI development.
• Collaborate with industry leaders, academia, and standards bodies to develop practical guidelines balancing oversight and innovation.
• Offer innovation grants or tax incentives for human-centric AI and robust safety testing.
• Encourage agencies and private organizations to seek trusted certifications like IEEE CertifAIEd.
• Publicly communicate applicable standards and assessment organizations to help identify vendors committed to responsible, secure AI.
",Risk Management,Rural development,Regulation,Policy Awareness
2763,"Utilize internal audit-led assurance processes for evaluating an organization's AI-related internal controls, risk management, and governance structures. This private sector-based approach would enable professionals with knowledge of the organization to conduct AI evaluations that promote transparency and accountability.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2764,"Develop framework that supports adding the skillsets and knowledge needed for clinical and IT support workforce focused on testing, monitoring, and revalidating AI following deployment.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
2765,"Establish a blockchain-based voting mechanism for AI governance that integrates social networking, insurance, and finance. This system would include a robust KYC (Know Your Customer) process tied to cryptocurrency accounts and financial verification to eliminate fake bot accounts and ensure only real individuals participate in governance. Through this platform, users would vote on specific AI use cases, with all aspects of AI deployment open to debate and recommendation. The resulting data pool would serve as a reference for lawmakers to craft AI regulations that reflect public opinion and protect societal interests.
",Risk Management,Rural development,Regulation,Policy Awareness
2766,"Develop and implement a comprehensive AI risk management framework to address risks throughout the AI lifecycle. This should include:
• Robust machine learning operations (MLOps) to manage models efficiently.
• Data governance frameworks emphasizing standardization and compliance.
• Integration of responsible AI principles throughout the development lifecycle.
• Continuous monitoring for real-world changes and ongoing mitigation of partiality.
",Risk Management,Information Security,Regulation,Risk Management
2767,"Encourage commercial AI developers and deployers to collaborate on industry-led shared responsibility models that clarify which actors are responsible for different aspects of AI system security throughout the system lifecycle.
",Content Creation,Ethical AI Deployment,Content & Models,Ethical Deployment
2768,"Instruct the SEC and other regulators to help rein in predatory subsidies and pump-and-dump behavior in the AI industry to create healthier market dynamics and fair competition.
",Content Creation,Antitrust regulation,Content & Models,Market Competition
2769,"Lifecycle management should be a cornerstone approach to AI system design. This includes proactive system and module updates, long-term technical support, comprehensive training programs, continuous performance monitoring, and integrating user feedback to evolve capabilities.
",Government operations,Planning,Infrastructure,System Lifecycle
2770,"Enhance network capabilities for distributed AI in healthcare.
• Develop scalable, modular network kits for healthcare environments.
• Support private 5G research tailored to hospitals and clinics.
• Invest in secure-by-design frameworks with AI-driven management and threat detection.
• Partner with network providers to create healthcare-specific solutions.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
2771,"Implement policies that protect children from potential harms of AI systems, including:
• Creating guardrails for AI chatbots that interact with minors,
• Preventing AI systems from providing harmful advice to children,
• Establishing age verification requirements for certain AI interactions,
• Developing regulations that prevent AI systems from encouraging self-harm or illegal activities among minors.
",Content Creation,Online Safety,Content & Models,Child Protection
2772,"When regulating AI, do so carefully and revisit regulations often, considering the immaturity of the industry. Regulations should ensure safe innovation rather than stifling progress.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
2773,"Implement national explainability and transparency standards for AI in high-impact sectors, while supporting sandbox-based evaluation pathways for broader adoption. This ensures that AI models used in law enforcement, healthcare, and finance must be auditable, fair, and explainable to retain public trust.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
2774,"Establish meaningful collaboration between regulators and community banks on the use of AI in supervisory and examination processes. This should include:
• Transparency measures with clear documentation of AI decision-making processes,
• Regular auditing of AI models for fairness and accuracy,
• Ensuring community banks have access to explanations regarding AI-generated outcomes, and
• Creating opportunities for community bank feedback on AI deployment in supervisory practices.
",Risk Management,Banking Regulation,Regulation,Financial Rules
2775,"Establish a National AI Technical Assistance Program to guide healthcare providers in AI adoption. Specifically:
• Provide resources to assist healthcare organizations in the selection, procurement, deployment, management, and evaluation of health AI tools.
• Issue guidance to providers on appropriate coding and billing for AI-assisted services to ensure proper payment and investment in these technologies.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
2776,"Develop prudent AI regulations based on actual risk profiles. Implement tight regulations for high-risk AI models (self-generating models trained on vast data for public use) while maintaining minimal regulation for low-risk AI methods.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
2777,"Prioritize AI security and compliance with federal guidelines. This includes:
• Requiring continuous authentication for AI access and decision-making.
• Ensuring AI models are transparent and auditable.
• Mandating regular AI fairness audits to prevent algorithmic discrimination.
• Implementing strict access controls for AI-powered systems. Ensure adherence to NIST, GDPR, and federal AI ethics guidelines.
",Healthcare Privacy,Privacy,Data Privacy,Personal Data
2778,"AI systems must be able to explain the rationale for their actions or outputs in a format understandable to users. Explanations should provide context for why the AI makes particular recommendations or takes specific actions, tailored to the needs of the user.
",Content Creation,Ethical AI Deployment,Content & Models,Ethical Deployment
2779,"Establish standardized clinical terminology systems and semantic interoperability frameworks for healthcare AI. Specific actions include:
• Developing comprehensive clinical terminologies aligned with international standards.
• Implementing mapping strategies for disparate coding systems to enable seamless data exchange.
• Creating systems for continuous updates to medical terminologies to reflect latest medical knowledge and best practices.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
2780,"Remove federal and state regulatory requirements that unnecessarily restrict AI development and deployment in healthcare. Create a clear, cohesive federal framework to provide regulatory certainty and preempt the emerging patchwork of state regulations that creates confusion, inconsistencies, and compliance burdens.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
2781,"Require independent audits of all AI educational tools to detect and mitigate algorithmic biases, particularly those that could disproportionately affect marginalized students. Implement ethics checklists and frameworks focused on fairness, explainability, and safety to evaluate AI before its use in educational settings.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2782,"• Require federal agencies to use clear, adaptable, and trustworthy standards for AI systems.
• Implement standards that ensure interoperability, performance, and reliability.
• Use standards to establish common definitions, methodologies, and benchmarks.
• Define parameters for risk assessments and testing criteria.
• Enable global AI interoperability through standardization.
",Risk Management,International Standards,Regulation,Global Standards
2783,"Establish policies to evaluate risk-relevant capabilities of AI and robustness of safety measures, both prior to deployment and on an ongoing basis. This framework should:
• Be developed with participation of multiple stakeholders including policymakers, AI developers, users, civil rights advocates, and consumer protection organizations.
• Ensure guidelines comply with existing laws and regulations for fair treatment in financial services and housing.
",Content Creation,Ethical AI Deployment,Content & Models,Ethical Deployment
2784,"Establish requirements that prevent AI and automated systems from being used to deny or impede patient access to healthcare services automatically. Require human evaluation to ensure patients are not being denied care that is medically necessary to address their health conditions.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
2785,"Implement policies regarding disclosure and use of AI in insurance agent interactions with beneficiaries. This includes:
• Requiring disclosure when AI is being used, including accent masking.
• Removing the need for explicit consent for AI use during phone calls.
• Identifying AI agents as AI agents.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
2786,"Require AI model providers to fully disclose the training data they use when making their models available in the US.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
2787,"Promote the development of open, industry-led technical standards for AI. These standards, along with open-source software and codes of conduct, provide trust and accountability that enables U.S. technology leadership.
",Risk Management,International Standards,Regulation,Global Standards
2788,"Prohibit AI systems from engaging in lethal activities autonomously without human-in-the-loop oversight. This recommendation acknowledges that current AI lacks the moral reasoning required for life-and-death decisions, while recognizing that implementation should consider strategic competition with adversaries that may not adhere to similar restrictions.
",Content Creation,Online Safety,Content & Models,Child Protection
2789,"Establish a federal sandbox where AI innovators can apply for regulatory relief or seek information about vague regulations through regulatory mitigation agreements. The sandbox should:
• Allow businesses to pause outmoded AI regulations.
• Operate under expert regulator oversight.
• Include voluntary reporting on progress toward milestones.
• Document progress reports to inform Congress and agencies about rules that need reform or repeal.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
2790,"Implement the AI Censu framework, an outcomes-based AI governance approach that focuses on outputs rather than inputs. This framework would:
• Track AI decisions with the same rigor applied to Protected Health Information, creating secure time-stamped records of each AI-driven healthcare decision.
• Maintain encrypted, immutable records of AI decisions called ""Censu Transactions"" that create clear accountability chains.
• Enable monitoring of real-time outcomes and identify areas for improvement without revealing proprietary AI methods.
• Maintain the human element in healthcare decision-making by documenting when providers modify or override AI recommendations.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
2791,"Ensure that AI systems are well documented, and that inputs and outputs of particular AI systems are traceable. Implement traceability practices similar to those used in other high-stakes safety industries like bio-safety and nuclear safety, including audit trails for highly automated system operations and publicly available data repositories for accident data.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2792,"Develop a framework that identifies and focuses on high-risk AI applications while exempting routine enterprise functions. The approach should:
• Concentrate regulatory efforts on AI systems with significant legal or safety impacts on individuals,
• Explicitly exclude low-risk AI applications such as cybersecurity, network management, software development in low-risk environments, and data storage from high-risk classifications.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
2793,"Create an efficient approval process for AI systems including:
• Risk-based assessment frameworks for prioritizing applications.
• Pre-certification programs for established developers.
• Expedited review tracks for innovations addressing critical needs.
• Phased approval processes for iterative deployment.
• Specialized review teams with domain expertise.
• Standardized evidence requirements by application category.
• Post-approval monitoring protocols proportionate to risk.
• Regular process improvement reviews.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2794,"Reaffirm commitment to a sector-specific and use-case based regulatory framework that governs the use of AI technology rather than the technology itself. Conduct a comprehensive regulatory gap analysis to identify where the current regulatory system may be insufficient for AI, and take actions to provide regulatory consistency where gaps exist.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
2795,"Create policies and frameworks driven by a clear understanding of the purpose (why) and methods (what) of using AI in healthcare. These policies should be flexible and adaptive to protect patients without stifling innovation, and should recognize differences between types of AI (predictive vs. generative) and their distinct applications in administrative versus clinical settings.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
2796,"Implement legislation that provides Full Practice Authority (FPA) to Nurse Practitioners across all 50 states, removing requirements for collaborative agreements with physicians that currently limit where NPs can practice.
",Semiconductor manufacturing,Autonomous Vehicles,Manufacturing,Autonomous Safety
2797,"Implement a balanced four-part policy framework for AI in healthcare that:
• Protects freedom to innovate without excessive regulation, especially for physicians and patients developing solutions for specific needs.
• Implements the AI Censu framework to create transparency without bureaucracy, ensuring accountability while protecting privacy.
• Uses blockchain technology to create immutable records of AI decisions that could significantly impact public safety.
• Invests in assessment tools to evaluate AI's impact and identify both successful innovations and potential problems.
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
2798,"Successful AI regulation should focus on deterring harmful conduct rather than regulating the technology itself. This involves applying existing laws to AI use cases and correcting gaps in law where needed. It acknowledges that frontier AI model developers may need specific regulations, but emphasizes that AI regulation should primarily rely on existing legal frameworks.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
2799,"Establish clear oversight mechanisms to verify data integrity and prevent politically motivated alterations or biases from influencing AI-generated outputs. Develop AI-driven validation mechanisms that assess factual accuracy and neutrality of datasets through automated fact-checking algorithms and metadata verification.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2800,"Encourage the development of guidelines and regulations for responsible development and use of AI systems, with a balanced approach to regulation that increases confidence, accelerates adoption, and promotes innovation.
",Risk Management,Rural development,Regulation,Policy Awareness
2801,"Develop a comprehensive AI standard that incorporates key safety principles and guidelines and provides a framework for assessing AI safety through technical, ethical, and governance-related principles. The standard should include:
• Quality Management: Ensuring structured development and testing processes.
• Robustness & Reliability: Addressing AI system performance across different conditions.
• Transparency & Explainability: Enabling users and regulators to understand AI decisions.
• Control & Oversight: Providing mechanisms for human intervention.
• Fairness & Bias: Ensuring equitable outcomes and reducing discrimination.
• Data Privacy & Security: Implementing safeguards to protect sensitive data.
• AI-Based Functional Safety: Ensuring AI components in safety-critical systems function predictably.
• Lifecycle Management: Establishing guidelines for AI system updates, maintenance, and decommissioning.
",Risk Management,International Standards,Regulation,Global Standards
2802,"Create metrics for evaluating AI performance beyond computer science leaderboards, particularly focusing on linguistic properties beyond syntax and grammar. Treat AI like other technologies by measuring sustainability, validity, and reliability. Establish clear performance definitions, goals, and surveillance mechanisms. Implement processes to collect and review unintended consequences and ensure accountability for harm caused by AI-enabled tools.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2803,"Develop a framework for liability and defenses to liability for utilization and deployment of AI that may cause violations or be used to detect violations in several key areas:
• Intellectual Property,
• Right of Publicity,
• Privacy rights and dignitary harms,
• Consumer protection issues such as false endorsement and misinformation, and
• Protection of children.
",Content Creation,Online Safety,Content & Models,Child Protection
2804,"Require federal agencies to collaborate with providers, including hospitals and health care systems, when developing an AI framework and regulations for healthcare. This leverages providers' expertise in direct patient care, clinician experience, healthcare operations, and managing patient data under HIPAA.
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
2805,"Ensure AI uses are reasonably identifiable by the public through transparency requirements, while maintaining flexibility to avoid stifling innovation, overburdening industry, or creating regulations that would quickly become obsolete.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
2806,"Ensure AI is not used to excessively deny Medicare or Medicare Advantage claims or prior authorization requests. The recommendation includes:
• CMS should issue guidance on the appropriate use of AI in the utilization review process, ensuring human reviewers maintain independent decision-making authority.
• CMS should require Medicare Advantage plans to disclose their use of AI in the prior authorization process, including whether AI was used to issue a denial.
",Science Partnerships,Healthcare (2),Research Funding,Healthcare Payment
2807,"Mandate AI awareness and risk education for public officials, election bodies, and perhaps media organizations to safeguard democratic institutions.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
2808,"Clarify and equip the existing HIPAA framework to better safeguard patient privacy with regards to AI, particularly addressing the risk of AI systems unintentionally sharing patient data in violation of HIPAA requirements.
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
2809,"Create a framework that distributes risk appropriately between financial institutions and AI service providers. This should include clear liability standards that ensure AI developers bear appropriate responsibility for the reliability, transparency, and explainability of their products.
",Content Creation,Ethical AI Deployment,Content & Models,Ethical Deployment
2810,"Create AI governance models that leverage decentralized, transparent systems to reduce risks associated with centralized control over AI technologies, building on research in blockchain governance, smart contract accountability, and decentralized AI governance.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
2811,"Support the elimination or revision of policies that needlessly hinder AI innovation. This includes:
• Reviewing and rescinding legacy regulations or agency policies that discourage data sharing or AI adoption,
• Coordinating with state and local governments to discourage a patchwork of AI regulations in favor of clear national standards,
• Pushing back against foreign regulations that disadvantage U.S. AI products or impose other countries' values via technology standards,
• Continuing inter-agency efforts to clarify ethical guidelines and risk management practices without imposing heavy-handed rules.
",Content Creation,Antitrust regulation,Content & Models,Market Competition
2812,"Develop intentional mitigation strategies at multiple levels to address implicit bias in AI systems and protect young people from developmental risks. Implement safeguards against harmful applications of AI image generation tools, particularly those that can create deepfakes or explicit images. Create a framework for AI development that accounts for the developmental stage of young people.
",Content Creation,Ethical AI Deployment,Content & Models,Ethical Deployment
2813,"Establish standardized performance metrics for AI-based diagnostic and prognostic tools to ensure reliability and reproducibility. Key actions include:
• Implementing analytical validation processes for accuracy, precision, and interchangeability assessments,
• Requiring clinical validation through well-defined sensitivity, specificity, and treatment-response predictions,
• Facilitating regulatory harmonization through collaboration between regulatory agencies, industry leaders, academic researchers, and patient advocates.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2814,"Promote partnerships between government agencies and private sector entities to accelerate advancements in RAG and OCR technologies. Specifically:
• Encourage partnerships to develop RAG systems tailored to defense needs, ensuring high standards for accuracy and reliability,
• Promote open-source initiatives around OCR tools using models like Llama 3.2-Vision, and
• Foster innovation by sharing resources and best practices among stakeholders.
",Semiconductor manufacturing,Innovation,Manufacturing,Research Hubs
2815,"Create specific guidance on how AI can be ethically and effectively deployed in behavioral health settings while ensuring compliance with 42 CFR Part 2 protections for substance use disorder treatment records. This should include:
• Guidelines to prevent unintended disclosure of sensitive behavioral health data,
• Requirements for appropriate consent mechanisms for AI model training, and
• Safeguards to protect patients from potential discrimination or stigma.
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
2816,"Require AI developers to honor ""Do Not Train"" (DNT) data designations that prevent the use of specific datasets for training AI models. This includes:
• Respecting ai.txt files embedded in website root directories that allow or deny use of a domain's content for AI training.
• Honoring DNT registries maintained by independent third parties.
• Making compliance with DNT designations a legal requirement for AI developers.
",Content Creation,Content Licensing,Content & Models,Copyright Issues
2817,"Create a virtual environment for independent verification, validation, and accreditation (VV&A) of safety critical AI models, using fuzzy logic-based AI as a foundation. This approach would be modeled after the Ohio Cyber Range Institute, providing a safe and secure environment to train, test, and verify AI systems.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
2818,"Develop governance frameworks that maintain America's innovative advantages while addressing safety, misuse, and civil liberties concerns. The approach should:
• Recognize open AI's security benefits,
• Focus on risk-based governance rather than model parameter thresholds,
• Target specific harmful capabilities rather than generalized restriction,
• Consider context, applications, and deployment factors when assessing risk.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
2819,"Establish robust data and metadata governance practices that are key for the success of AI-based pipelines for science, given the tight dependence of AI models on data.
",Healthcare Privacy,Data Governance,Data Privacy,Gov Datasets
2820,"The government should create a unified federal regulatory framework for AI to prevent a patchwork of inconsistent state, local, and sector-specific regulations. Federal lawmakers and regulators should clearly express their intent to exclusively occupy the field in issuing AI-related standards and regulation for banks. New laws covering industries outside of banks should acknowledge existing bank regulatory frameworks and provide entity-level exemptions for banks already subject to supervision and financial law.
",Risk Management,Banking Regulation,Regulation,Financial Rules
2821,"Develop and support AI insurance markets that can manage the complex risk profiles of AI systems. This includes:
• Building upon existing cyber insurance infrastructure rather than creating new AI-specific policies.
• Potentially developing catastrophe bond markets for societal-scale AI incidents. Insurance would serve as both a risk management tool and a governance mechanism.
",Content Creation,Online Safety,Content & Models,Child Protection
2822,"Prioritize government oversight of AI systems rather than relying on industry self-regulation. This includes:
• Implementing independent testing of AI systems rather than relying on company representations.
• Applying heightened regulatory scrutiny to high-risk AI systems that make consequential decisions.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
2823,"Invest in training programs for pharmacists and other healthcare professionals on AI-related topics including:
• Data science fundamentals,
• AI ethics,
• Generative AI applications in healthcare, and
• AI model validation and risk management. Additionally, expand incentives for AI-focused pharmacy residency programs, pharmacist-led AI research, and workforce development.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
2824,"Harmonize US regulatory AI standards with international standards to encourage global adoption and consumer trust. Implement regular reviews and updates to ensure AI systems are serving diverse populations fairly and accurately. Grant regulatory agencies authority to fine developers that fail impact assessments and prevent them from entering the market.
",Risk Management,International Standards,Regulation,Global Standards
